2025-07-30 18:40:52,895 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:40:52] "GET /api/gap-ups HTTP/1.1" 200 -
2025-07-30 18:41:48,902 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:41:48] "OPTIONS /api/health HTTP/1.1" 200 -
2025-07-30 18:41:48,908 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:41:48] "OPTIONS /api/gap-ups HTTP/1.1" 200 -
2025-07-30 18:41:48,912 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:41:48] "GET /api/health HTTP/1.1" 200 -
2025-07-30 18:41:53,468 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:41:53] "GET /api/gap-ups HTTP/1.1" 200 -
2025-07-30 18:42:48,901 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:42:48] "OPTIONS /api/health HTTP/1.1" 200 -
2025-07-30 18:42:48,913 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:42:48] "OPTIONS /api/gap-ups HTTP/1.1" 200 -
2025-07-30 18:42:48,918 | werkzeug | INFO | _internal.py:97 | _log() | 127.0.0.1 - - [30/Jul/2025 18:42:48] "GET /api/health HTTP/1.1" 200 -
2025-07-30 19:00:54,455 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 19:00:54,456 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/../logs
2025-07-30 19:00:54,456 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
