2025-07-30 19:10:01,524 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_data_real | Duration: 13.341s | Details: {'ticker': 'SQFT', 'days': 1095, 'data_points': 1, 'cached': True}
2025-07-30 19:12:11,431 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ batch_daily_data | Duration: 0.470s | Details: {'ticker': 'FTFT', 'start_date': '2022-07-31', 'end_date': '2025-07-30', 'data_points': 752}
2025-07-30 19:12:12,409 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_gap_up_data | Duration: 1.453s | Details: {'ticker': 'FTFT', 'days': 1095, 'use_cache': True, 'total_days': 752, 'gap_up_days': 2}
2025-07-30 19:12:12,411 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_data_real | Duration: 1.455s | Details: {'ticker': 'FTFT', 'days': 1095, 'data_points': 2, 'cached': True}
2025-07-30 19:27:07,774 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.345s | Details: {'ticker': 'HOLO', 'start_date': '2023-07-31', 'end_date': '2025-07-30', 'data_points': 502}
2025-07-30 19:27:14,324 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_gap_up_data | Duration: 6.901s | Details: {'ticker': 'HOLO', 'days': 730, 'use_cache': True, 'total_days': 502, 'gap_up_days': 16}
2025-07-30 19:27:14,326 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 6.903s | Details: {'ticker': 'HOLO', 'days': 730, 'data_points': 16, 'cached': True}
2025-07-30 19:27:26,869 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.247s | Details: {'ticker': 'HOLO', 'start_date': '2022-07-31', 'end_date': '2023-07-30', 'data_points': 216}
2025-07-30 19:27:27,349 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.735s | Details: {'ticker': 'HOLO', 'days': 1095, 'data_points': 17, 'cached': True}
2025-07-30 19:29:44,333 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.005s | Details: {'ticker': 'HOLO', 'days': 365, 'data_points': 9, 'cached': True}
2025-07-30 19:29:55,913 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.004s | Details: {'ticker': 'HOLO', 'days': 365, 'data_points': 9, 'cached': True}
2025-07-30 19:30:44,087 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.010s | Details: {'ticker': 'HOLO', 'days': 365, 'data_points': 9, 'cached': True}
2025-07-30 19:31:37,827 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.004s | Details: {'ticker': 'HOLO', 'days': 365, 'data_points': 9, 'cached': True}
2025-07-30 19:31:39,697 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.005s | Details: {'ticker': 'HOLO', 'days': 365, 'data_points': 9, 'cached': True}
2025-07-30 19:31:40,584 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.009s | Details: {'ticker': 'HOLO', 'days': 365, 'data_points': 9, 'cached': True}
2025-07-30 19:31:43,183 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.340s | Details: {'ticker': 'HOLO', 'start_date': '2022-07-31', 'end_date': '2024-07-29', 'data_points': 467}
2025-07-30 19:31:46,160 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 3.329s | Details: {'ticker': 'HOLO', 'days': 1095, 'data_points': 17, 'cached': True}
2025-07-30 19:32:15,627 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.272s | Details: {'ticker': 'CVM', 'start_date': '2022-07-31', 'end_date': '2025-07-30', 'data_points': 752}
2025-07-30 19:32:16,415 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_gap_up_data | Duration: 1.064s | Details: {'ticker': 'CVM', 'days': 1095, 'use_cache': True, 'total_days': 752, 'gap_up_days': 2}
2025-07-30 19:32:16,419 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 1.070s | Details: {'ticker': 'CVM', 'days': 1095, 'data_points': 2, 'cached': True}
