2025-07-30 19:08:13,814 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/logs
2025-07-30 19:08:13,814 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
2025-07-30 19:08:13,815 | startup | INFO | logging_config.py:118 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 19:08:13,816 | historical_cache | INFO | historical_cache.py:240 | clear_cache() | 🗑️ Cleared cache for AAPL
2025-07-30 19:08:13,817 | historical_data | INFO | historical_data.py:474 | get_historical_gap_up_data() | 📊 Fetching historical gap-up data for AAPL from 2024-07-30 to 2025-07-30 (365 days)
2025-07-30 19:08:13,817 | historical_data | INFO | historical_data.py:481 | get_historical_gap_up_data() | Cache status for AAPL: {'ticker': 'AAPL', 'cached': False, 'total_records': 0, 'last_updated': None, 'data_range': None}
2025-07-30 19:08:13,820 | historical_cache | INFO | historical_cache.py:99 | get_cached_data() | 📊 Retrieved 0 cached records for AAPL
2025-07-30 19:08:13,821 | historical_data | INFO | historical_data.py:485 | get_historical_gap_up_data() | DEBUG: Retrieved 0 cached records for AAPL
2025-07-30 19:08:13,821 | historical_data | INFO | historical_data.py:671 | get_historical_gap_up_data() | DEBUG: No cached data found for AAPL, will fetch from Polygon
2025-07-30 19:08:13,822 | historical_data | INFO | historical_data.py:674 | get_historical_gap_up_data() | 🔄 Fetching fresh batch data from Polygon for AAPL
2025-07-30 19:08:14,147 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ batch_daily_data | Duration: 0.324s | Details: {'ticker': 'AAPL', 'start_date': '2024-07-30', 'end_date': '2025-07-30', 'data_points': 251}
2025-07-30 19:08:14,147 | historical_data | INFO | historical_data.py:365 | get_batch_daily_data() | 📊 Retrieved 251 days of batch data for AAPL
2025-07-30 19:08:14,152 | historical_data | INFO | historical_data.py:451 | process_batch_data_to_gap_ups() | 📈 Found 0 major gap-up days (25%+) for AAPL
2025-07-30 19:08:14,157 | historical_cache | INFO | historical_cache.py:178 | store_historical_data() | 💾 Stored 0 records for AAPL in cache (query range: 2024-07-30 to 2025-07-30)
2025-07-30 19:08:14,158 | historical_data | INFO | historical_data.py:697 | get_historical_gap_up_data() | 💾 Cached empty result (no gap-ups) for AAPL in period 2024-07-30 to 2025-07-30
2025-07-30 19:08:14,158 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ historical_gap_up_data | Duration: 0.342s | Details: {'ticker': 'AAPL', 'days': 365, 'use_cache': True, 'total_days': 251, 'gap_up_days': 0}
2025-07-30 19:08:14,159 | historical_data | INFO | historical_data.py:708 | get_historical_gap_up_data() | ✅ Retrieved 251 days of historical data for AAPL
2025-07-30 19:08:14,159 | historical_data | INFO | historical_data.py:709 | get_historical_gap_up_data() | 📈 Found 0 major gap-up days (25%+) for AAPL
2025-07-30 19:15:17,593 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 19:15:17,595 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/logs
2025-07-30 19:15:17,608 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
2025-07-30 19:15:17,608 | startup | INFO | logging_config.py:118 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 19:17:35,634 | startup | INFO | logging_config.py:116 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 19:17:35,637 | startup | INFO | logging_config.py:117 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/logs
2025-07-30 19:17:35,637 | startup | INFO | logging_config.py:118 | setup_logging() | 🔧 Log level: INFO
2025-07-30 19:17:35,637 | startup | INFO | logging_config.py:119 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 19:17:35,646 | historical_cache | INFO | historical_cache.py:240 | clear_cache() | 🗑️ Cleared cache for FTFT
